"filename", "language", "JSON", "Markdown", "JavaScript JSX", "JavaScript", "PostCSS", "HTML", "Prisma", "MS SQL", "comment", "blank", "total"
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\repositories\Posts\postGetAllRepository.js", "JavaScript", 0, 0, 0, 59, 0, 0, 0, 0, 0, 1, 60
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\repositories\Posts\postGetAllUserRepository.js", "JavaScript", 0, 0, 0, 38, 0, 0, 0, 0, 0, 1, 39
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\repositories\Posts\postGetRepository.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 1, 16
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\repositories\Posts\postMakeRepository.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 18
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\repositories\User\userDeleteRepository.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 7, 26
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\repositories\User\userGetAllRepository.js", "JavaScript", 0, 0, 0, 30, 0, 0, 0, 0, 0, 4, 34
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\repositories\User\userGetByIdRepository.js", "JavaScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\repositories\User\userGetByNameRepository.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\repositories\User\userLoginRepository.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 4, 26
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\repositories\User\userRegisterRepository.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 8, 29
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\repositories\User\userUpdateRepository.js", "JavaScript", 0, 0, 0, 43, 0, 0, 0, 0, 0, 9, 52
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\routes\api.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 6, 20
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\routes\auth.js", "JavaScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 7, 25
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\routes\comment.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 6, 16
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\routes\friendShip.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 7, 23
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\routes\genreText.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 4, 12
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\routes\like.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 6, 18
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\server.js", "JavaScript", 0, 0, 0, 33, 0, 0, 0, 0, 0, 11, 44
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\services\Comment\commentCreateService.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\services\Comment\commentDeleteService.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\services\Comment\commentGetByPostService.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\services\GenresText\genreTextGetAllService.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\services\GenresText\genreTextGetService.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\services\Like\likeDeleteService.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 4, 17
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\services\Like\likeGetPostsByUserService.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\services\Like\likeGetUsersService.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\services\Like\likePostService.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 5, 19
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\services\NetWork\friendProfileService.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 0, 1, 6, 24
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\services\NetWork\friendShipDeleteService.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 6, 23
